"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Tricep Dips";"Warm-up";"Barbell";"Full Body";"Push";"Lower Back, Biceps, Hip Flexors, Triceps, Shoulders";"Perform the movement by engaging your Lower Back, Biceps, Hip Flexors, Triceps, Shoulders and keeping proper form. Avoid overextending."
"Wall Sit";"Warm-up";"Cable Machine";"Full Body";"Pull";"Glutes, Quadriceps, Lats, Triceps";"Pull the cable machine towards you using your Glutes, Quadriceps, Lats, Triceps, and return to the starting position with control."
"Dumbbell Rows";"Mobility";"Resistance Band";"Full Body";"Pull";"Shoulders, Chest";"Pull the resistance band towards you using your Shoulders, Chest, and return to the starting position with control."
"Tricep Dips";"Warm-up";"None";"Core";"Pull";"Hamstrings, Lower Back, Abs, Glutes";"Pull the your body towards you using your Hamstrings, Lower Back, Abs, Glutes, and return to the starting position with control."
"Pull-Ups";"Warm-up";"Resistance Band";"Full Body";"Push";"Lower Back, Triceps, Core";"Perform the movement by engaging your Lower Back, Triceps, Core and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Medicine Ball";"Upper Body";"Hold";"Abs, Lats, Rear Deltoids";"Maintain a stable position, keeping your Abs, Lats, Rear Deltoids engaged throughout the duration."
"Burpees";"Warm-up";"Pull-Up Bar";"Upper Body";"Hold";"Rear Deltoids, Abs, Lats";"Maintain a stable position, keeping your Rear Deltoids, Abs, Lats engaged throughout the duration."
"Leg Raises";"Warm-up";"Dumbbells";"Upper Body";"Hold";"Hamstrings, Rear Deltoids";"Maintain a stable position, keeping your Hamstrings, Rear Deltoids engaged throughout the duration."
"Jumping Jacks";"Cardio";"Cable Machine";"Full Body";"Pull";"Hip Flexors, Traps";"Pull the cable machine towards you using your Hip Flexors, Traps, and return to the starting position with control."
"Deadlifts";"Strength";"Pull-Up Bar";"Full Body";"Static";"Hamstrings, Abs, Chest, Biceps, Hip Flexors";"Hold the position steadily, ensuring your Hamstrings, Abs, Chest, Biceps, Hip Flexors remain activated without losing alignment."
"Russian Twists";"Cardio";"Pull-Up Bar";"Upper Body";"Pull";"Lats, Rear Deltoids, Abs, Biceps, Hamstrings";"Pull the pull-up bar towards you using your Lats, Rear Deltoids, Abs, Biceps, Hamstrings, and return to the starting position with control."
"Resistance Band Pull";"Warm-up";"Medicine Ball";"Upper Body";"Hold";"Abs, Hamstrings, Rear Deltoids";"Maintain a stable position, keeping your Abs, Hamstrings, Rear Deltoids engaged throughout the duration."
"Side Plank";"Warm-up";"Barbell";"Upper Body";"Push";"Lats, Biceps, Triceps, Abs, Chest";"Perform the movement by engaging your Lats, Biceps, Triceps, Abs, Chest and keeping proper form. Avoid overextending."
"Russian Twists";"Strength";"Bodyweight";"Core";"Static";"Lower Back, Hamstrings, Biceps";"Hold the position steadily, ensuring your Lower Back, Hamstrings, Biceps remain activated without losing alignment."
"Mountain Climbers";"Warm-up";"Resistance Band";"Full Body";"Hold";"Lats, Quadriceps";"Maintain a stable position, keeping your Lats, Quadriceps engaged throughout the duration."
"Wall Sit";"Mobility";"Pull-Up Bar";"Lower Body";"Static";"Hamstrings, Chest, Biceps";"Hold the position steadily, ensuring your Hamstrings, Chest, Biceps remain activated without losing alignment."
"Resistance Band Pull";"Mobility";"Cable Machine";"Full Body";"Hold";"Traps, Lats, Hip Flexors, Hamstrings";"Maintain a stable position, keeping your Traps, Lats, Hip Flexors, Hamstrings engaged throughout the duration."
"Russian Twists";"Strength";"Barbell";"Lower Body";"Push";"Biceps, Rear Deltoids, Hamstrings, Triceps, Chest";"Perform the movement by engaging your Biceps, Rear Deltoids, Hamstrings, Triceps, Chest and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Bodyweight";"Core";"Push";"Rear Deltoids, Glutes";"Perform the movement by engaging your Rear Deltoids, Glutes and keeping proper form. Avoid overextending."
"Wall Sit";"Strength";"Resistance Band";"Full Body";"Static";"Abs, Triceps, Hip Flexors, Rear Deltoids, Traps";"Hold the position steadily, ensuring your Abs, Triceps, Hip Flexors, Rear Deltoids, Traps remain activated without losing alignment."
"Bicep Curls";"Strength";"Kettlebells";"Upper Body";"Hold";"Quadriceps, Forearms";"Maintain a stable position, keeping your Quadriceps, Forearms engaged throughout the duration."
"Lunges";"Cardio";"Pull-Up Bar";"Core";"Push";"Rear Deltoids, Hip Flexors, Triceps";"Perform the movement by engaging your Rear Deltoids, Hip Flexors, Triceps and keeping proper form. Avoid overextending."
"Leg Raises";"Warm-up";"Kettlebells";"Full Body";"Pull";"Quadriceps, Hip Flexors, Hamstrings, Rear Deltoids, Biceps";"Pull the kettlebells towards you using your Quadriceps, Hip Flexors, Hamstrings, Rear Deltoids, Biceps, and return to the starting position with control."
"Resistance Band Pull";"Warm-up";"Medicine Ball";"Upper Body";"Pull";"Glutes, Abs, Shoulders";"Pull the medicine ball towards you using your Glutes, Abs, Shoulders, and return to the starting position with control."
"Deadlifts";"Cardio";"Resistance Band";"Core";"Hold";"Forearms, Hip Flexors, Glutes, Chest";"Maintain a stable position, keeping your Forearms, Hip Flexors, Glutes, Chest engaged throughout the duration."
"Side Plank";"Strength";"None";"Full Body";"Pull";"Glutes, Lower Back";"Pull the your body towards you using your Glutes, Lower Back, and return to the starting position with control."
"Lunges";"Warm-up";"Medicine Ball";"Core";"Pull";"Lats, Abs";"Pull the medicine ball towards you using your Lats, Abs, and return to the starting position with control."
"Burpees";"Mobility";"Medicine Ball";"Upper Body";"Hold";"Lower Back, Shoulders, Abs, Glutes, Chest";"Maintain a stable position, keeping your Lower Back, Shoulders, Abs, Glutes, Chest engaged throughout the duration."
"Squats";"Mobility";"Resistance Band";"Upper Body";"Pull";"Lats, Hip Flexors, Core, Hamstrings";"Pull the resistance band towards you using your Lats, Hip Flexors, Core, Hamstrings, and return to the starting position with control."
"Dumbbell Rows";"Mobility";"Medicine Ball";"Lower Body";"Push";"Forearms, Hamstrings, Abs";"Perform the movement by engaging your Forearms, Hamstrings, Abs and keeping proper form. Avoid overextending."
"Mountain Climbers";"Cardio";"Cable Machine";"Core";"Hold";"Traps, Rear Deltoids, Glutes, Quadriceps";"Maintain a stable position, keeping your Traps, Rear Deltoids, Glutes, Quadriceps engaged throughout the duration."
"Lunges";"Warm-up";"Pull-Up Bar";"Core";"Push";"Hip Flexors, Abs, Shoulders, Biceps, Rear Deltoids";"Perform the movement by engaging your Hip Flexors, Abs, Shoulders, Biceps, Rear Deltoids and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Warm-up";"Bodyweight";"Core";"Push";"Forearms, Glutes, Quadriceps";"Perform the movement by engaging your Forearms, Glutes, Quadriceps and keeping proper form. Avoid overextending."
"Overhead Press";"Warm-up";"Medicine Ball";"Full Body";"Pull";"Traps, Forearms, Core, Hamstrings";"Pull the medicine ball towards you using your Traps, Forearms, Core, Hamstrings, and return to the starting position with control."
"Plank";"Cardio";"Pull-Up Bar";"Upper Body";"Pull";"Forearms, Abs, Chest";"Pull the pull-up bar towards you using your Forearms, Abs, Chest, and return to the starting position with control."
"Bicep Curls";"Strength";"Kettlebells";"Core";"Pull";"Glutes, Abs, Quadriceps";"Pull the kettlebells towards you using your Glutes, Abs, Quadriceps, and return to the starting position with control."
"Bicep Curls";"Strength";"Medicine Ball";"Lower Body";"Pull";"Rear Deltoids, Shoulders, Lats, Forearms";"Pull the medicine ball towards you using your Rear Deltoids, Shoulders, Lats, Forearms, and return to the starting position with control."
"Russian Twists";"Strength";"Pull-Up Bar";"Core";"Pull";"Triceps, Biceps, Glutes, Lower Back, Quadriceps";"Pull the pull-up bar towards you using your Triceps, Biceps, Glutes, Lower Back, Quadriceps, and return to the starting position with control."
"Deadlifts";"Mobility";"Resistance Band";"Lower Body";"Hold";"Lower Back, Forearms";"Maintain a stable position, keeping your Lower Back, Forearms engaged throughout the duration."
"Bicep Curls";"Warm-up";"Pull-Up Bar";"Lower Body";"Hold";"Triceps, Hip Flexors";"Maintain a stable position, keeping your Triceps, Hip Flexors engaged throughout the duration."
"Lunges";"Cardio";"Medicine Ball";"Upper Body";"Static";"Hip Flexors, Biceps, Traps";"Hold the position steadily, ensuring your Hip Flexors, Biceps, Traps remain activated without losing alignment."
"Dumbbell Rows";"Mobility";"Bodyweight";"Lower Body";"Pull";"Forearms, Glutes, Hip Flexors, Quadriceps, Hamstrings";"Pull the bodyweight towards you using your Forearms, Glutes, Hip Flexors, Quadriceps, Hamstrings, and return to the starting position with control."
"Side Plank";"Warm-up";"Resistance Band";"Full Body";"Hold";"Core, Hamstrings, Biceps, Triceps, Rear Deltoids";"Maintain a stable position, keeping your Core, Hamstrings, Biceps, Triceps, Rear Deltoids engaged throughout the duration."
"Push-Ups";"Strength";"Barbell";"Lower Body";"Hold";"Quadriceps, Biceps, Traps, Forearms, Hamstrings";"Maintain a stable position, keeping your Quadriceps, Biceps, Traps, Forearms, Hamstrings engaged throughout the duration."
"Plank";"Mobility";"Kettlebells";"Core";"Static";"Hip Flexors, Shoulders, Abs, Triceps";"Hold the position steadily, ensuring your Hip Flexors, Shoulders, Abs, Triceps remain activated without losing alignment."
"Dumbbell Rows";"Strength";"Cable Machine";"Full Body";"Push";"Abs, Hamstrings, Shoulders, Hip Flexors";"Perform the movement by engaging your Abs, Hamstrings, Shoulders, Hip Flexors and keeping proper form. Avoid overextending."
"Jumping Jacks";"Cardio";"Dumbbells";"Core";"Push";"Chest, Traps";"Perform the movement by engaging your Chest, Traps and keeping proper form. Avoid overextending."
"Lunges";"Mobility";"Medicine Ball";"Upper Body";"Hold";"Biceps, Hip Flexors";"Maintain a stable position, keeping your Biceps, Hip Flexors engaged throughout the duration."
"Squats";"Mobility";"Pull-Up Bar";"Core";"Pull";"Lower Back, Shoulders, Traps";"Pull the pull-up bar towards you using your Lower Back, Shoulders, Traps, and return to the starting position with control."
"Tricep Dips";"Mobility";"Cable Machine";"Full Body";"Push";"Shoulders, Biceps, Forearms, Glutes, Rear Deltoids";"Perform the movement by engaging your Shoulders, Biceps, Forearms, Glutes, Rear Deltoids and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Mobility";"Dumbbells";"Full Body";"Static";"Shoulders, Lower Back";"Hold the position steadily, ensuring your Shoulders, Lower Back remain activated without losing alignment."
"Leg Raises";"Strength";"Cable Machine";"Upper Body";"Hold";"Hamstrings, Quadriceps, Forearms, Lower Back, Glutes";"Maintain a stable position, keeping your Hamstrings, Quadriceps, Forearms, Lower Back, Glutes engaged throughout the duration."
"Russian Twists";"Warm-up";"Cable Machine";"Core";"Push";"Triceps, Shoulders, Biceps, Abs";"Perform the movement by engaging your Triceps, Shoulders, Biceps, Abs and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Cable Machine";"Upper Body";"Hold";"Glutes, Rear Deltoids, Triceps, Biceps";"Maintain a stable position, keeping your Glutes, Rear Deltoids, Triceps, Biceps engaged throughout the duration."
"Resistance Band Pull";"Strength";"Kettlebells";"Lower Body";"Static";"Hip Flexors, Traps, Lower Back, Triceps";"Hold the position steadily, ensuring your Hip Flexors, Traps, Lower Back, Triceps remain activated without losing alignment."
"Burpees";"Strength";"Pull-Up Bar";"Upper Body";"Push";"Forearms, Glutes, Hamstrings, Lats";"Perform the movement by engaging your Forearms, Glutes, Hamstrings, Lats and keeping proper form. Avoid overextending."
"Push-Ups";"Warm-up";"None";"Lower Body";"Push";"Triceps, Hamstrings";"Perform the movement by engaging your Triceps, Hamstrings and keeping proper form. Avoid overextending."
"Burpees";"Cardio";"Dumbbells";"Core";"Push";"Quadriceps, Hamstrings, Biceps, Rear Deltoids";"Perform the movement by engaging your Quadriceps, Hamstrings, Biceps, Rear Deltoids and keeping proper form. Avoid overextending."
"Bench Press";"Cardio";"None";"Upper Body";"Pull";"Hamstrings, Abs";"Pull the your body towards you using your Hamstrings, Abs, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Medicine Ball";"Upper Body";"Pull";"Glutes, Lats, Hip Flexors, Abs, Lower Back";"Pull the medicine ball towards you using your Glutes, Lats, Hip Flexors, Abs, Lower Back, and return to the starting position with control."
"Bicep Curls";"Cardio";"Medicine Ball";"Upper Body";"Hold";"Rear Deltoids, Traps, Quadriceps";"Maintain a stable position, keeping your Rear Deltoids, Traps, Quadriceps engaged throughout the duration."
"Side Plank";"Warm-up";"Medicine Ball";"Core";"Hold";"Hamstrings, Glutes";"Maintain a stable position, keeping your Hamstrings, Glutes engaged throughout the duration."
"Wall Sit";"Strength";"Dumbbells";"Core";"Hold";"Shoulders, Glutes, Abs";"Maintain a stable position, keeping your Shoulders, Glutes, Abs engaged throughout the duration."
"Russian Twists";"Cardio";"Cable Machine";"Upper Body";"Push";"Traps, Lats";"Perform the movement by engaging your Traps, Lats and keeping proper form. Avoid overextending."
"Burpees";"Cardio";"Pull-Up Bar";"Core";"Push";"Triceps, Hamstrings";"Perform the movement by engaging your Triceps, Hamstrings and keeping proper form. Avoid overextending."
"Squats";"Mobility";"Cable Machine";"Upper Body";"Pull";"Quadriceps, Lower Back, Core, Lats";"Pull the cable machine towards you using your Quadriceps, Lower Back, Core, Lats, and return to the starting position with control."
"Russian Twists";"Mobility";"Bodyweight";"Lower Body";"Pull";"Glutes, Hamstrings";"Pull the bodyweight towards you using your Glutes, Hamstrings, and return to the starting position with control."
"Dumbbell Rows";"Cardio";"Resistance Band";"Core";"Push";"Rear Deltoids, Shoulders, Forearms, Lats";"Perform the movement by engaging your Rear Deltoids, Shoulders, Forearms, Lats and keeping proper form. Avoid overextending."
"Bicep Curls";"Mobility";"Cable Machine";"Full Body";"Hold";"Chest, Abs, Traps, Core";"Maintain a stable position, keeping your Chest, Abs, Traps, Core engaged throughout the duration."
"Deadlifts";"Cardio";"Bodyweight";"Core";"Hold";"Hamstrings, Quadriceps, Abs, Lower Back, Hip Flexors";"Maintain a stable position, keeping your Hamstrings, Quadriceps, Abs, Lower Back, Hip Flexors engaged throughout the duration."
"Deadlifts";"Cardio";"Dumbbells";"Lower Body";"Pull";"Biceps, Abs, Hip Flexors, Hamstrings";"Pull the dumbbells towards you using your Biceps, Abs, Hip Flexors, Hamstrings, and return to the starting position with control."
"Wall Sit";"Warm-up";"None";"Core";"Hold";"Shoulders, Forearms";"Maintain a stable position, keeping your Shoulders, Forearms engaged throughout the duration."
"Side Plank";"Warm-up";"Cable Machine";"Full Body";"Push";"Core, Shoulders";"Perform the movement by engaging your Core, Shoulders and keeping proper form. Avoid overextending."
"Burpees";"Strength";"Cable Machine";"Core";"Static";"Triceps, Chest, Glutes";"Hold the position steadily, ensuring your Triceps, Chest, Glutes remain activated without losing alignment."
"Push-Ups";"Mobility";"Medicine Ball";"Upper Body";"Static";"Lower Back, Biceps, Hamstrings, Core";"Hold the position steadily, ensuring your Lower Back, Biceps, Hamstrings, Core remain activated without losing alignment."
"Overhead Press";"Strength";"Kettlebells";"Full Body";"Push";"Hip Flexors, Biceps, Triceps";"Perform the movement by engaging your Hip Flexors, Biceps, Triceps and keeping proper form. Avoid overextending."
"Bench Press";"Mobility";"Cable Machine";"Core";"Static";"Quadriceps, Hip Flexors, Rear Deltoids, Abs, Glutes";"Hold the position steadily, ensuring your Quadriceps, Hip Flexors, Rear Deltoids, Abs, Glutes remain activated without losing alignment."
"Lunges";"Cardio";"Bodyweight";"Core";"Static";"Core, Abs, Lower Back";"Hold the position steadily, ensuring your Core, Abs, Lower Back remain activated without losing alignment."
"Leg Raises";"Mobility";"Bodyweight";"Full Body";"Pull";"Core, Hip Flexors, Chest, Traps, Lower Back";"Pull the bodyweight towards you using your Core, Hip Flexors, Chest, Traps, Lower Back, and return to the starting position with control."
"Bicep Curls";"Cardio";"Barbell";"Full Body";"Push";"Hamstrings, Traps, Lats";"Perform the movement by engaging your Hamstrings, Traps, Lats and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Bodyweight";"Full Body";"Hold";"Traps, Quadriceps, Glutes, Forearms, Abs";"Maintain a stable position, keeping your Traps, Quadriceps, Glutes, Forearms, Abs engaged throughout the duration."
"Wall Sit";"Cardio";"Bodyweight";"Core";"Pull";"Abs, Biceps";"Pull the bodyweight towards you using your Abs, Biceps, and return to the starting position with control."
"Side Plank";"Cardio";"Kettlebells";"Full Body";"Static";"Shoulders, Lats, Core";"Hold the position steadily, ensuring your Shoulders, Lats, Core remain activated without losing alignment."
"Tricep Dips";"Mobility";"Dumbbells";"Lower Body";"Hold";"Hamstrings, Lower Back, Core, Glutes";"Maintain a stable position, keeping your Hamstrings, Lower Back, Core, Glutes engaged throughout the duration."
"Dumbbell Rows";"Cardio";"Bodyweight";"Upper Body";"Hold";"Traps, Lats";"Maintain a stable position, keeping your Traps, Lats engaged throughout the duration."
"Mountain Climbers";"Cardio";"Resistance Band";"Core";"Pull";"Abs, Biceps, Rear Deltoids";"Pull the resistance band towards you using your Abs, Biceps, Rear Deltoids, and return to the starting position with control."
"Burpees";"Warm-up";"Bodyweight";"Full Body";"Push";"Rear Deltoids, Quadriceps, Abs, Chest";"Perform the movement by engaging your Rear Deltoids, Quadriceps, Abs, Chest and keeping proper form. Avoid overextending."
"Overhead Press";"Warm-up";"None";"Core";"Hold";"Shoulders, Glutes, Lats, Hamstrings";"Maintain a stable position, keeping your Shoulders, Glutes, Lats, Hamstrings engaged throughout the duration."
"Mountain Climbers";"Mobility";"Resistance Band";"Full Body";"Push";"Triceps, Shoulders, Rear Deltoids, Biceps, Hamstrings";"Perform the movement by engaging your Triceps, Shoulders, Rear Deltoids, Biceps, Hamstrings and keeping proper form. Avoid overextending."
"Pull-Ups";"Mobility";"Kettlebells";"Full Body";"Push";"Hamstrings, Shoulders, Biceps";"Perform the movement by engaging your Hamstrings, Shoulders, Biceps and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Mobility";"Resistance Band";"Lower Body";"Pull";"Lower Back, Shoulders, Hip Flexors, Triceps";"Pull the resistance band towards you using your Lower Back, Shoulders, Hip Flexors, Triceps, and return to the starting position with control."
"Pull-Ups";"Strength";"Pull-Up Bar";"Core";"Push";"Lats, Hip Flexors, Glutes, Biceps";"Perform the movement by engaging your Lats, Hip Flexors, Glutes, Biceps and keeping proper form. Avoid overextending."
"Jumping Jacks";"Cardio";"Dumbbells";"Upper Body";"Hold";"Shoulders, Quadriceps, Triceps";"Maintain a stable position, keeping your Shoulders, Quadriceps, Triceps engaged throughout the duration."
"Squats";"Warm-up";"Cable Machine";"Core";"Static";"Core, Hamstrings, Biceps, Quadriceps, Hip Flexors";"Hold the position steadily, ensuring your Core, Hamstrings, Biceps, Quadriceps, Hip Flexors remain activated without losing alignment."
"Overhead Press";"Cardio";"Cable Machine";"Lower Body";"Hold";"Forearms, Hip Flexors, Core, Triceps, Lats";"Maintain a stable position, keeping your Forearms, Hip Flexors, Core, Triceps, Lats engaged throughout the duration."
"Bicep Curls";"Strength";"Kettlebells";"Lower Body";"Static";"Quadriceps, Forearms";"Hold the position steadily, ensuring your Quadriceps, Forearms remain activated without losing alignment."
"Dumbbell Rows";"Cardio";"None";"Core";"Static";"Hamstrings, Traps, Forearms";"Hold the position steadily, ensuring your Hamstrings, Traps, Forearms remain activated without losing alignment."
"Overhead Press";"Strength";"Barbell";"Core";"Pull";"Abs, Hamstrings";"Pull the barbell towards you using your Abs, Hamstrings, and return to the starting position with control."
"Dumbbell Rows";"Strength";"Cable Machine";"Lower Body";"Hold";"Lats, Lower Back, Abs";"Maintain a stable position, keeping your Lats, Lower Back, Abs engaged throughout the duration."
"Wall Sit";"Cardio";"None";"Upper Body";"Static";"Chest, Shoulders, Biceps";"Hold the position steadily, ensuring your Chest, Shoulders, Biceps remain activated without losing alignment."
"Kettlebell Swings";"Cardio";"Cable Machine";"Lower Body";"Push";"Hip Flexors, Lower Back, Abs, Biceps, Forearms";"Perform the movement by engaging your Hip Flexors, Lower Back, Abs, Biceps, Forearms and keeping proper form. Avoid overextending."
"Jumping Jacks";"Cardio";"Cable Machine";"Full Body";"Hold";"Lats, Hip Flexors, Quadriceps";"Maintain a stable position, keeping your Lats, Hip Flexors, Quadriceps engaged throughout the duration."
"Jumping Jacks";"Warm-up";"Cable Machine";"Full Body";"Hold";"Hip Flexors, Chest, Glutes";"Maintain a stable position, keeping your Hip Flexors, Chest, Glutes engaged throughout the duration."
"Kettlebell Swings";"Strength";"Bodyweight";"Lower Body";"Pull";"Chest, Triceps";"Pull the bodyweight towards you using your Chest, Triceps, and return to the starting position with control."
"Side Plank";"Strength";"None";"Core";"Pull";"Glutes, Chest";"Pull the your body towards you using your Glutes, Chest, and return to the starting position with control."
"Burpees";"Cardio";"Cable Machine";"Core";"Hold";"Triceps, Lower Back, Shoulders, Glutes, Hamstrings";"Maintain a stable position, keeping your Triceps, Lower Back, Shoulders, Glutes, Hamstrings engaged throughout the duration."
"Leg Raises";"Mobility";"Cable Machine";"Upper Body";"Push";"Forearms, Abs, Core";"Perform the movement by engaging your Forearms, Abs, Core and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Resistance Band";"Full Body";"Static";"Quadriceps, Glutes, Lats";"Hold the position steadily, ensuring your Quadriceps, Glutes, Lats remain activated without losing alignment."
"Mountain Climbers";"Mobility";"None";"Upper Body";"Pull";"Forearms, Traps";"Pull the your body towards you using your Forearms, Traps, and return to the starting position with control."
"Side Plank";"Strength";"Pull-Up Bar";"Upper Body";"Push";"Hip Flexors, Triceps, Shoulders, Abs";"Perform the movement by engaging your Hip Flexors, Triceps, Shoulders, Abs and keeping proper form. Avoid overextending."
"Squats";"Warm-up";"Cable Machine";"Full Body";"Static";"Shoulders, Biceps";"Hold the position steadily, ensuring your Shoulders, Biceps remain activated without losing alignment."
"Overhead Press";"Strength";"Kettlebells";"Core";"Static";"Forearms, Shoulders";"Hold the position steadily, ensuring your Forearms, Shoulders remain activated without losing alignment."
"Resistance Band Pull";"Cardio";"Resistance Band";"Full Body";"Pull";"Traps, Quadriceps, Glutes, Chest";"Pull the resistance band towards you using your Traps, Quadriceps, Glutes, Chest, and return to the starting position with control."
"Squats";"Warm-up";"None";"Full Body";"Push";"Lats, Triceps, Traps";"Perform the movement by engaging your Lats, Triceps, Traps and keeping proper form. Avoid overextending."
"Squats";"Cardio";"Kettlebells";"Core";"Push";"Lats, Shoulders, Hip Flexors, Chest, Lower Back";"Perform the movement by engaging your Lats, Shoulders, Hip Flexors, Chest, Lower Back and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Warm-up";"Resistance Band";"Lower Body";"Static";"Lats, Biceps";"Hold the position steadily, ensuring your Lats, Biceps remain activated without losing alignment."
"Burpees";"Mobility";"Resistance Band";"Lower Body";"Static";"Hamstrings, Chest, Triceps, Rear Deltoids";"Hold the position steadily, ensuring your Hamstrings, Chest, Triceps, Rear Deltoids remain activated without losing alignment."
"Kettlebell Swings";"Warm-up";"Pull-Up Bar";"Core";"Hold";"Shoulders, Lats, Hamstrings, Forearms";"Maintain a stable position, keeping your Shoulders, Lats, Hamstrings, Forearms engaged throughout the duration."
"Kettlebell Swings";"Cardio";"Medicine Ball";"Core";"Static";"Hamstrings, Traps, Triceps, Quadriceps";"Hold the position steadily, ensuring your Hamstrings, Traps, Triceps, Quadriceps remain activated without losing alignment."
"Side Plank";"Warm-up";"Kettlebells";"Full Body";"Pull";"Abs, Hip Flexors, Lower Back";"Pull the kettlebells towards you using your Abs, Hip Flexors, Lower Back, and return to the starting position with control."
"Bench Press";"Strength";"Medicine Ball";"Lower Body";"Static";"Lats, Hamstrings, Quadriceps, Traps, Rear Deltoids";"Hold the position steadily, ensuring your Lats, Hamstrings, Quadriceps, Traps, Rear Deltoids remain activated without losing alignment."
"Side Plank";"Mobility";"Resistance Band";"Lower Body";"Static";"Hip Flexors, Biceps, Forearms";"Hold the position steadily, ensuring your Hip Flexors, Biceps, Forearms remain activated without losing alignment."
"Deadlifts";"Cardio";"Bodyweight";"Core";"Hold";"Chest, Forearms";"Maintain a stable position, keeping your Chest, Forearms engaged throughout the duration."
"Push-Ups";"Warm-up";"Dumbbells";"Upper Body";"Push";"Hip Flexors, Biceps, Hamstrings, Forearms";"Perform the movement by engaging your Hip Flexors, Biceps, Hamstrings, Forearms and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Warm-up";"Pull-Up Bar";"Lower Body";"Hold";"Traps, Chest, Biceps, Lats";"Maintain a stable position, keeping your Traps, Chest, Biceps, Lats engaged throughout the duration."
"Overhead Press";"Cardio";"Kettlebells";"Full Body";"Static";"Rear Deltoids, Glutes, Biceps";"Hold the position steadily, ensuring your Rear Deltoids, Glutes, Biceps remain activated without losing alignment."
"Squats";"Cardio";"None";"Full Body";"Static";"Shoulders, Triceps, Forearms, Glutes, Abs";"Hold the position steadily, ensuring your Shoulders, Triceps, Forearms, Glutes, Abs remain activated without losing alignment."
"Burpees";"Warm-up";"Bodyweight";"Core";"Push";"Quadriceps, Lats";"Perform the movement by engaging your Quadriceps, Lats and keeping proper form. Avoid overextending."
"Russian Twists";"Warm-up";"Pull-Up Bar";"Core";"Pull";"Lower Back, Hip Flexors, Traps, Quadriceps";"Pull the pull-up bar towards you using your Lower Back, Hip Flexors, Traps, Quadriceps, and return to the starting position with control."
"Pull-Ups";"Warm-up";"Bodyweight";"Full Body";"Pull";"Hamstrings, Shoulders, Lats, Traps, Rear Deltoids";"Pull the bodyweight towards you using your Hamstrings, Shoulders, Lats, Traps, Rear Deltoids, and return to the starting position with control."
"Squats";"Cardio";"Resistance Band";"Lower Body";"Hold";"Abs, Lower Back";"Maintain a stable position, keeping your Abs, Lower Back engaged throughout the duration."
"Side Plank";"Warm-up";"Barbell";"Lower Body";"Hold";"Glutes, Hip Flexors, Rear Deltoids, Quadriceps, Forearms";"Maintain a stable position, keeping your Glutes, Hip Flexors, Rear Deltoids, Quadriceps, Forearms engaged throughout the duration."
"Deadlifts";"Mobility";"Barbell";"Upper Body";"Pull";"Shoulders, Chest, Glutes, Lats";"Pull the barbell towards you using your Shoulders, Chest, Glutes, Lats, and return to the starting position with control."
"Wall Sit";"Warm-up";"Resistance Band";"Core";"Hold";"Forearms, Traps, Biceps";"Maintain a stable position, keeping your Forearms, Traps, Biceps engaged throughout the duration."
"Bicep Curls";"Strength";"Cable Machine";"Lower Body";"Push";"Shoulders, Lats, Abs, Forearms";"Perform the movement by engaging your Shoulders, Lats, Abs, Forearms and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Mobility";"Resistance Band";"Lower Body";"Push";"Traps, Triceps, Lower Back, Abs";"Perform the movement by engaging your Traps, Triceps, Lower Back, Abs and keeping proper form. Avoid overextending."
"Pull-Ups";"Warm-up";"Dumbbells";"Full Body";"Push";"Glutes, Shoulders, Hamstrings, Triceps";"Perform the movement by engaging your Glutes, Shoulders, Hamstrings, Triceps and keeping proper form. Avoid overextending."
"Wall Sit";"Warm-up";"Kettlebells";"Upper Body";"Pull";"Shoulders, Quadriceps, Lats, Triceps, Forearms";"Pull the kettlebells towards you using your Shoulders, Quadriceps, Lats, Triceps, Forearms, and return to the starting position with control."
"Bench Press";"Warm-up";"Dumbbells";"Upper Body";"Push";"Biceps, Chest, Glutes, Quadriceps";"Perform the movement by engaging your Biceps, Chest, Glutes, Quadriceps and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Pull-Up Bar";"Lower Body";"Static";"Lats, Rear Deltoids, Lower Back, Hamstrings, Glutes";"Hold the position steadily, ensuring your Lats, Rear Deltoids, Lower Back, Hamstrings, Glutes remain activated without losing alignment."
"Wall Sit";"Warm-up";"Resistance Band";"Full Body";"Push";"Core, Forearms";"Perform the movement by engaging your Core, Forearms and keeping proper form. Avoid overextending."
"Deadlifts";"Strength";"Kettlebells";"Full Body";"Hold";"Shoulders, Triceps";"Maintain a stable position, keeping your Shoulders, Triceps engaged throughout the duration."
